time,open,high,low,close,vol
1668297600,16813.16,16954.28,16435.23,16659.23,90585.34096
1668340800,16659.23,16714.26,16229.0,16329.85,94375.4475
1668384000,16331.78,16935.59,15815.21,16749.8,195519.43081
1668427200,16748.75,17190.0,16181.0,16619.46,184691.34669
1668470400,16617.72,16989.0,16527.72,16781.62,126749.72272
1668513600,16783.27,17134.69,16614.61,16900.57,155712.12119
1668556800,16900.57,17015.92,16650.29,16707.9,120894.79397
1668600000,16706.64,16773.09,16378.61,16662.76,140598.61412
1668643200,16661.61,16751.0,16410.74,16595.08,108035.56183
1668686400,16594.19,16749.0,16430.0,16692.56,120003.4169
1668729600,16692.56,17011.0,16680.0,16749.88,114979.7168
1668772800,16750.25,16818.0,16546.04,16700.45,99244.46504
1668816000,16699.43,16708.77,16553.53,16676.26,53032.98381
1668859200,16676.26,16822.41,16608.35,16700.68,51930.17177
1668902400,16700.68,16753.33,16462.46,16525.38,64488.33281
1668945600,16526.04,16628.49,16180.0,16280.23,90353.80197
1668988800,16279.5,16319.0,15897.15,16084.42,157617.42402
1669032000,16084.42,16284.0,15476.0,15781.29,166479.573733
1669075200,15781.29,15967.76,15616.63,15747.88,106423.65014
1669118400,15747.88,16315.0,15683.33,16226.94,133124.41609
1669161600,16227.96,16677.25,16160.2,16585.77,134507.91305
1669204800,16585.21,16706.0,16320.02,16603.11,130419.79103
1669248000,16603.11,16812.63,16493.81,16572.11,118679.98355
1669291200,16572.11,16676.0,16458.05,16598.95,87885.93991
1669334400,16599.55,16622.64,16342.81,16531.64,95984.36409
1669377600,16531.64,16666.0,16435.11,16522.14,86105.13124
1669420800,16521.35,16701.99,16509.6,16580.31,96516.80006
1669464000,16580.58,16680.57,16385.0,16458.57,85288.0166
1669507200,16457.61,16600.0,16446.59,16550.91,88295.69805
1669550400,16550.57,16597.36,16401.0,16428.78,73729.77802
1669593600,16428.77,16487.04,16051.9,16213.29,125194.2295
1669636800,16213.29,16399.69,15995.27,16212.91,127501.17417
1669680000,16212.18,16548.71,16100.0,16497.64,134054.22602
1669723200,16496.73,16526.91,16328.84,16442.53,114052.02407
1669766400,16442.91,17162.2,16428.3,16879.32,140632.96088
1669809600,16879.32,17249.0,16705.0,17163.64,162386.84631
1669852800,17165.53,17236.29,17042.37,17102.47,101023.261
1669896000,17102.47,17324.0,16855.01,16977.37,131794.92118
1669939200,16978.0,17065.0,16857.89,16996.92,95937.51266
1669982400,16996.92,17105.73,16787.85,17092.74,106434.69354
1670025600,17092.13,17188.98,16880.88,16943.43,83022.992
1670068800,16943.43,16983.77,16858.74,16885.2,71519.58106
1670112000,16885.2,17068.0,16878.25,16948.64,84564.80217
1670155200,16948.64,17202.84,16915.0,17105.7,94054.3317
1670198400,17106.65,17424.25,17076.85,17310.51,128211.2432
1670241600,17310.08,17313.48,16867.0,16966.35,105492.04905
1670284800,16966.35,17102.97,16906.37,16983.9,97944.43692
1670328000,16983.42,17107.01,16912.24,17088.96,120786.33191
1670371200,17088.96,17142.21,16678.83,16793.29,122057.64073
1670414400,16793.29,16897.38,16765.12,16836.64,98599.77261
1670457600,16836.64,16890.01,16733.49,16851.02,97204.44592
1670500800,16850.88,17299.0,16802.88,17224.1,139213.53212
1670544000,17224.1,17300.0,17186.5,17241.44,102342.79318
1670587200,17241.16,17360.0,17058.21,17128.56,136079.27147
1670630400,17128.56,17178.0,17112.52,17168.61,68932.42437
1670673600,17168.17,17227.72,17092.0,17127.49,71641.555
1670716800,17127.49,17200.0,17121.92,17167.43,68640.61453
1670760000,17167.12,17270.99,17071.0,17085.05,86645.86418
1670803200,17085.05,17087.67,16871.85,16988.62,120012.65644
1670846400,16989.45,17241.89,16920.61,17209.83,106214.8405
1670889600,17208.93,17500.0,17080.14,17444.63,125956.3044
1670932800,17444.32,18000.0,17395.0,17774.7,158506.6095
1670976000,17775.82,17878.5,17734.19,17824.93,77465.14023
1671019200,17824.93,18387.95,17660.94,17803.15,189216.08186
1671062400,17804.01,17854.82,17561.0,17720.33,78631.82404
1671105600,17720.33,17725.93,17275.51,17356.34,145070.14478
1671148800,17356.96,17531.73,16918.97,17027.09,103984.69308
1671192000,17027.09,17085.0,16527.32,16632.12,149394.34808
1671235200,16631.5,16772.0,16579.85,16708.22,90497.12451
1671278400,16707.55,16796.82,16642.0,16776.52,54328.54233
1671321600,16777.54,16804.7,16663.07,16711.35,57539.30934
1671364800,16711.35,16863.26,16673.63,16738.21,55080.00712
1671408000,16739.0,16815.99,16627.35,16734.46,70728.01522
1671451200,16734.46,16765.71,16256.3,16438.88,108366.26783
1671494400,16438.88,16880.58,16397.2,16814.25,130867.55252
1671537600,16814.71,17061.27,16710.12,16895.56,117941.37072
1671580800,16896.15,16925.0,16767.53,16878.47,70571.72135
1671624000,16878.47,16914.72,16723.0,16824.67,86239.24227
1671667200,16824.68,16868.52,16783.43,16834.8,63457.21525
1671710400,16834.2,16852.79,16559.85,16821.43,112587.0571
1671753600,16821.9,16893.9,16770.0,16844.02,65995.65151
1671796800,16844.02,16955.14,16731.13,16778.5,95616.35796
1671840000,16778.52,16859.44,16776.62,16824.41,53117.36964
1671883200,16824.42,16869.99,16808.15,16836.12,47106.92132
1671926400,16835.73,16852.95,16802.0,16821.51,49604.48599
1671969600,16821.51,16857.96,16721.0,16832.11,75836.58603
1672012800,16832.11,16924.0,16818.0,16864.04,60491.60495
1672056000,16864.64,16944.52,16791.0,16919.39,64072.40161
1672099200,16919.39,16972.83,16806.57,16832.4,75194.53038
1672142400,16832.01,16839.49,16592.37,16706.36,98555.05578
1672185600,16706.06,16755.2,16559.79,16678.98,88660.74993
1672228800,16678.52,16785.19,16465.33,16547.31,104376.81584
1672272000,16547.32,16630.0,16488.91,16598.7,72980.35938
1672315200,16598.7,16664.41,16555.57,16633.47,88018.1122
1672358400,16633.47,16648.77,16429.0,16496.27,70309.42236
1672401600,16495.96,16677.35,16333.0,16607.48,94606.88938
1672444800,16607.48,16616.37,16531.0,16567.15,52242.75714
1672488000,16567.52,16644.09,16470.0,16542.4,62247.6715
1672531200,16541.77,16559.77,16499.01,16556.66,47964.03143
1672574400,16556.66,16628.0,16533.68,16616.75,48961.38231
1672617600,16617.17,16772.01,16548.7,16735.11,68758.29807
1672660800,16735.51,16799.23,16660.51,16672.87,53130.27384
1672704000,16672.78,16778.4,16647.81,16721.03,67193.96305
1672747200,16721.42,16773.0,16605.28,16675.18,92347.57428
1672790400,16675.65,16919.0,16652.66,16835.35,102495.46568
1672833600,16835.35,16991.87,16765.3,16850.36,117866.72294
1672876800,16850.36,16878.18,16780.75,16833.6,69273.54661
1672920000,16833.6,16879.82,16753.0,16831.85,94200.0198
1672963200,16831.85,16872.57,16709.88,16738.22,77632.64441
1673006400,16738.74,17041.0,16679.0,16950.65,129768.63974
1673049600,16950.31,16981.91,16908.07,16918.3,52360.1588
1673092800,16918.3,16951.92,16908.0,16943.57,52166.41
1673136000,16943.83,16967.67,16911.0,16927.42,53397.81769
1673179200,16927.42,17176.99,16916.1,17127.83,81758.07926
1673222400,17127.83,17285.48,17104.66,17238.93,122813.71021
1673265600,17239.47,17398.8,17128.0,17178.26,143397.81702
1673308800,17179.04,17286.02,17146.34,17252.89,88018.74636
1673352000,17252.89,17499.0,17212.14,17440.66,133363.67945
1673395200,17440.64,17510.0,17366.58,17437.75,91659.75094
1673438400,17437.75,18000.0,17315.6,17943.26,170561.85559
1673481600,17943.26,18385.71,17907.25,18200.8,154004.85064
1673524800,18200.8,19117.04,17892.05,18846.62,300563.47114
1673568000,18846.62,19057.7,18714.12,18920.95,129000.98889
1673611200,18920.95,20000.0,18811.52,19930.01,239614.88934
1673654400,19930.01,21258.0,19888.05,20721.73,257353.12809
1673697600,20721.03,21200.0,20568.12,20954.92,136560.62142
1673740800,20952.76,21001.84,20551.01,20722.23,86962.92416
1673784000,20722.23,21050.74,20652.24,20871.5,91579.30133
1673827200,20872.99,21439.59,20666.0,20817.56,148086.18027
1673870400,20816.63,21474.05,20611.48,21185.65,144991.90235
1673913600,21185.65,21299.04,20841.31,21219.75,103942.17029
1673956800,21219.21,21647.45,21030.0,21134.81,171465.5738
1674000000,21132.29,21377.44,21103.15,21204.67,100224.03738
1674043200,21204.67,21650.0,20407.15,20677.47,250691.98211
1674086400,20677.47,20874.81,20659.19,20743.72,101638.58048
1674129600,20744.17,21192.0,20660.8,21071.59,149747.26877
1674172800,21071.59,21219.6,20861.28,20963.51,108909.62367
1674216000,20963.34,22755.93,20955.53,22667.21,229169.51292
1674259200,22666.0,23335.77,22422.0,22905.65,180067.63194
1674302400,22907.01,23371.8,22680.73,22783.55,166377.85238
1674345600,22783.35,22979.88,22602.55,22783.61,104601.84417
1674388800,22784.74,23078.71,22292.37,22707.88,148975.90869
1674432000,22706.02,22957.25,22600.14,22904.58,107600.55773
1674475200,22904.58,23180.0,22500.0,22916.45,185987.82165
1674518400,22917.81,23162.2,22770.0,22917.66,121967.92667
1674561600,22917.11,23080.45,22462.93,22632.89,171190.85587
1674604800,22631.94,22772.0,22300.0,22598.47,125194.94993
1674648000,22598.45,23816.73,22335.0,23060.94,220847.8823
1674691200,23060.42,23282.47,22850.01,22992.94,133778.4094
1674734400,22992.09,23250.0,22853.81,23009.65,155146.02641
1674777600,23009.65,23100.0,22534.88,22967.47,118459.86395
1674820800,22967.48,23500.0,22841.19,23074.16,162373.9992
1674864000,23074.16,23189.0,22905.0,22981.51,74718.82027
1674907200,22981.51,23052.82,22878.46,23022.6,73396.89058
1674950400,23021.4,23605.74,22967.76,23432.17,133308.615
1674993600,23431.39,23960.54,23350.47,23742.3,162380.17704
1675036800,23743.37,23800.51,23017.0,23077.47,140793.84844
1675080000,23077.47,23301.82,22500.0,22826.15,161612.05277
1675123200,22827.38,22996.84,22714.77,22865.43,105724.72118
1675166400,22865.97,23320.0,22812.69,23125.13,158924.62791
1675209600,23125.13,23184.29,22919.33,23077.52,105462.08752
1675252800,23078.43,23812.66,22760.23,23732.66,205328.33519
