id,code,tradeStatus,code_name,exchange,type,date
sh.600236,600236,1,桂冠电力,sh,1,2000-03-23
sh.600237,600237,1,铜峰电子,sh,1,2000-06-09
sh.600238,600238,1,海南椰岛,sh,1,2000-01-20
sh.600239,600239,1,云南城投,sh,1,1999-12-02
sh.600241,600241,1,时代万恒,sh,1,2000-11-28
sh.600243,600243,1,青海华鼎,sh,1,2000-11-20
sh.600246,600246,1,万通发展,sh,1,2000-09-22
sh.600248,600248,1,陕建股份,sh,1,2000-06-22
sh.600249,600249,1,两面针,sh,1,2004-01-30
sh.600250,600250,1,南京商旅,sh,1,2001-03-06
sh.600251,600251,1,冠农股份,sh,1,2003-06-09
sh.600252,600252,1,中恒集团,sh,1,2000-11-30
sh.600255,600255,1,鑫科材料,sh,1,2000-11-22
sh.600256,600256,1,广汇能源,sh,1,2000-05-26
sh.600257,600257,1,大湖股份,sh,1,2000-06-12
sh.600258,600258,1,首旅酒店,sh,1,2000-06-01
sh.600259,600259,1,广晟有色,sh,1,2000-05-25
sh.600261,600261,1,阳光照明,sh,1,2000-07-20
sh.600262,600262,1,北方股份,sh,1,2000-06-30
sh.600265,600265,1,景谷林业,sh,1,2000-08-25
sh.600266,600266,1,城建发展,sh,1,1999-02-03
sh.600267,600267,1,海正药业,sh,1,2000-07-25
sh.600268,600268,1,国电南自,sh,1,1999-11-18
sh.600269,600269,1,赣粤高速,sh,1,2000-05-18
sh.600271,600271,1,航天信息,sh,1,2003-07-11
sh.600272,600272,1,开开实业,sh,1,2001-02-28
sh.600273,600273,1,嘉化能源,sh,1,2003-06-27
sh.600276,600276,1,恒瑞医药,sh,1,2000-10-18
sh.600278,600278,1,东方创业,sh,1,2000-07-12
sh.600279,600279,1,重庆港,sh,1,2000-07-31
sh.600280,600280,1,中央商场,sh,1,2000-09-26
sh.600281,600281,1,华阳新材,sh,1,2000-11-09
sh.600282,600282,1,南钢股份,sh,1,2000-09-19
sh.600283,600283,1,钱江水利,sh,1,2000-10-18
sh.600284,600284,1,浦东建设,sh,1,2004-03-16
sh.600285,600285,1,羚锐制药,sh,1,2000-10-18
sh.600287,600287,1,ST舜天,sh,1,2000-09-01
sh.600288,600288,1,大恒科技,sh,1,2000-11-29
sh.600289,600289,1,*ST信通,sh,1,2000-07-20
sh.600292,600292,1,远达环保,sh,1,2000-11-01
sh.600293,600293,1,三峡新材,sh,1,2000-09-19
sh.600295,600295,1,鄂尔多斯,sh,1,2001-04-26
sh.600298,600298,1,安琪酵母,sh,1,2000-08-18
sh.600299,600299,1,安迪苏,sh,1,2000-04-20
sh.600300,600300,1,维维股份,sh,1,2000-06-30
sh.600301,600301,1,华锡有色,sh,1,2000-07-12
sh.600302,600302,1,标准股份,sh,1,2000-12-13
sh.600303,600303,1,ST曙光,sh,1,2000-12-26
sh.600305,600305,1,恒顺醋业,sh,1,2001-02-06
sh.600307,600307,1,酒钢宏兴,sh,1,2000-12-20
sh.600308,600308,1,华泰股份,sh,1,2000-09-28
sh.600309,600309,1,万华化学,sh,1,2001-01-05
sh.600310,600310,1,广西能源,sh,1,2001-02-28
sh.600312,600312,1,平高电气,sh,1,2001-02-21
sh.600313,600313,1,农发种业,sh,1,2001-01-19
sh.600315,600315,1,上海家化,sh,1,2001-03-15
sh.600316,600316,1,洪都航空,sh,1,2000-12-15
sh.600318,600318,1,新力金融,sh,1,2000-12-08
sh.600319,600319,1,亚星化学,sh,1,2001-03-26
sh.600320,600320,1,振华重工,sh,1,2000-12-21
sh.600322,600322,1,津投城开,sh,1,2001-09-10
sh.600323,600323,1,瀚蓝环境,sh,1,2000-12-25
sh.600325,600325,1,华发股份,sh,1,2004-02-25
sh.600326,600326,1,西藏天路,sh,1,2001-01-16
sh.600327,600327,1,大东方,sh,1,2002-06-25
sh.600328,600328,1,中盐化工,sh,1,2000-12-22
sh.600329,600329,1,达仁堂,sh,1,2001-06-06
sh.600330,600330,1,天通股份,sh,1,2001-01-18
sh.600331,600331,1,宏达股份,sh,1,2001-12-20
sh.600332,600332,1,白云山,sh,1,2001-02-06
sh.600333,600333,1,长春燃气,sh,1,2000-12-11
sh.600335,600335,1,国机汽车,sh,1,2001-03-05
sh.600336,600336,1,澳柯玛,sh,1,2000-12-29
sh.600337,600337,1,美克家居,sh,1,2000-11-27
sh.600338,600338,1,西藏珠峰,sh,1,2000-12-27
sh.600339,600339,1,中油工程,sh,1,2000-12-25
sh.600340,600340,1,华夏幸福,sh,1,2003-12-30
